transaction_id,date,description,amount,direction,mcc,category,_merchant,_is_holdout
84,2024-05-10,Списаие ЖКУ ТСЖ Пример,7999.0,debit,,ЖКХ и связь,ТСЖ Пример,False
85,2024-04-04,PRIME,2390.0,debit,5812,Кафе и рестораны,Prime,False
86,2024-04-27,Прочие услуги 951561,9499.0,debit,,Прочее,,False
87,2024-06-07,POKUPA IVI NOVOSIBIRSK,3749.0,debit,,Развлечения,IVI,False
88,2024-05-14,OPLATA PEREKRESTOK,4599.0,debit,5412,Продукты,Перекресток,False
89,2024-06-21,POS LENTA,2909.0,debit,5422,Продукты,Лента,False
90,2024-06-13,OPLATA SPAR,3250.0,debit,5411,Продукты,Spar,False
91,2024-06-20,TERMINAL 598062 ELDORADO NIZHNIY NOVGOROD,78990.0,debit,5732,Электроника и техника,Эльдорадо,False
92,2024-04-29,IL DE BOTE,1990.0,debit,7230,Красота и уход,Иль Де Ботэ,False
93,2024-04-23,МТС счет №455779,3450.0,debit,4900,ЖКХ и связь,МТС,False
94,2024-05-30,VKUSVILL*9972219,1209.0,debit,5422,Продукты,ВкусВилл,False
95,2024-05-23,Списание ЖКУ Мегафон,4199.0,debit,4900,ЖКХ и связь,Мегафон,False
96,2024-04-24,МАРКЕТПЛЕЙС ОПЛАТА 479073,7349.0,debit,,Прочее,,False
97,2024-06-28,POKUPKA WINK CHELYABINSK,2690.0,debit,5815,Развлечения,Wink,False
98,2024-06-15,Кэшбэк по карте,53190.0,credit,,Прочие доходы,Перекресток,False
99,2024-04-08,Перевод между своими счетами,2500.0,debit,,Переводы,Егоров И.О.,False
100,2024-06-04,OPLATA PYATEROCHKA,899.0,debit,5411,Продукты,Пятёрочка,False
101,2024-04-26,Оплата Skillbox л/с 694805,15709.0,debit,8220,Образование,Skillbox,False
102,2024-05-16,OPLAAT IKEA,23449.0,debit,,Дом и ремонт,IKEA,False
103,2024-05-19,POKUPKA STEAM KAZAN,4509.0,debit,,Развлечения,Steam,False
104,2024-04-26,KFC,3309.0,debit,5812,Кафе и рестораны,KFC,False
105,2024-06-18,OPLATA DNS,18899.0,debit,5732,Электроника и техника,DNS,False
106,2024-06-29,POS ASHAN,1909.0,debit,5411,Продукты,Ашан,False
107,2024-05-14,Билайн абонентская плата,3649.0,debit,4900,ЖКХ и связь,Билайн,False
108,2024-04-30,TERMINAL 420692 ZDRAVSITI SANKT-PETERBURG,4250.0,debit,,Здоровье,Здравсити,False
109,2024-06-10,ВОЗВРАТ SBP Федоров С.П.,62600.0,credit,,Прочие доходы,Мегафон,False
110,2024-04-04,Перевод СБП Соколов Н.В.,30699.0,debit,,Переводы,Соколов Н.В.,False
111,2024-06-29,OPLATA TOVAROV VKUSNO I TOCHKA,1800.0,debit,5814,Кафе и рестораны,Вкусно и точка,False
112,2024-06-18,BOULING KOSMIK VORONEZH RUS,2709.0,debit,,Развлечения,Боулинг Космик,False
113,2024-04-13,DIKSI KRASNOYARSK RUS,4150.0,debit,5422,Продукты,Дикси,False
114,2024-05-31,Перевод СБП Иванов С.Д.,3850.0,credit,,Переводы,Иванов С.Д.,False
115,2024-06-19,Перевод между своими счетами,4050.0,credit,,Переводы,Смирнова А.Д.,False
116,2024-06-19,OPLATA MOSKOVSKIY METROPOLITEN,50.0,debit,4111,Транспорт,Московский метрополитен,False
117,2024-05-15,POS TEHNOPARK,16909.0,debit,5734,Электроника и техника,Технопарк,False
118,2024-05-15,OPLATA TOVAROV ZARA,7650.0,debit,,Одежда и обувь,Zara,False
119,2024-05-24,OPLATA SPAR,199.0,debit,,Продукты,Spar,False
120,2024-05-09,OPLATA SALON KRASOTY STIL,4009.0,debit,,Красота и уход,Салон Красоты Стиль,False
121,2024-06-17,FORMULA KINO KAZAN RUS,1390.0,debit,,Развлечения,Формула Кино,False
122,2024-06-13,OPLATA L'ETUAL,3849.0,debit,,Красота и уход,Л'Этуаль,False
123,2024-06-08,PLAYSTATION STORE,4250.0,debit,,Развлечения,PlayStation Store,False
124,2024-05-08,POKUPKA METRO NOVOSIBIRSK,3699.0,debit,5412,Продукты,Metro,False
125,2024-04-02,TERMINAL 360513 DELIMOBIL KAZAN,1390.0,debit,5541,Транспорт,Delimobil,False
126,2024-04-08,O'KEY NIZHNIY NOVGOOD RUS,5590.0,debit,,Продукты,О'Кей,False
127,2024-04-05,Перевод по номеру телефона +7 924 879-55-81,24049.0,credit,,Переводы,Волков А.Е.,False
128,2024-06-05,Внутрибанковский перевод Волкова Ю.О.,19100.0,debit,,Переводы,Волкова Ю.О.,False
129,2024-06-04,Списание ЖКУ Ренессанс Страхование,4209.0,debit,,Финансовые услуги,Ренессанс Страхование,False
130,2024-04-09,OPLATA TOVAROV YANDEKS TAKSI,2049.0,debit,,Транспорт,Яндекс Такси,False
131,2024-06-24,O'KEY CHELYABINSK RUS,4899.0,debit,,Продукты,О'Кей,False
132,2024-06-02,П2П перевод Соколов В.А.,37290.0,credit,,Переводы,Соколов В.А.,False
133,2024-04-04,Выплата премии ООО Альянс,26590.0,credit,,Прочие доходы,Doc+,False
134,2024-06-14,POKUPKA MAGNIT NOVOSIBIRSK,2350.0,debit,5412,Продукты,Магнит,False
135,2024-04-15,SM-KLINIKA*489983,2490.0,debit,,Здоровье,СМ-Клиника,False
136,2024-05-21,POS PYATEROCHKA,3300.0,debit,,Продукты,Пятёрочка,False
137,2024-06-02,OPLATA IL DE BOTE,3549.0,debit,7298,Красота и уход,Иль Де Ботэ,False
138,2024-05-04,SALON KRASOTY STIL*30835,7909.0,debit,7298,Красота и уход,Салон Красоты Стиль,False
139,2024-05-25,VKUSVILL KRASNOYARSK RUS,2000.0,debit,5422,Продукты,ВкусВилл,False
140,2024-06-20,ИП Волков Е.Д. консультация врача,809.0,debit,8099,Здоровье,Волков Е.Д.,False
141,2024-05-06,FORMUA KINO,4290.0,debit,7994,Развлечения,Формула Кино,False
142,2024-05-29,POKUPKA KOFE HAUZ VORONEZH,1400.0,debit,5812,Кафе и рестораны,Кофе Хауз,False
143,2024-05-12,Перевод Петров А.М.,20299.0,debit,,Переводы,Петров А.М.,False
144,2024-05-16,Оплата услуг МТС,709.0,debit,4900,ЖКХ и связь,МТС,False
145,2024-05-05,POS TEREMOK,2599.0,debit,,Кафе и рестораны,Теремок,False
146,2024-06-12,STTEAM,2149.0,debit,7994,Развлечения,Steam,False
147,2024-04-23,Лабиринт счет №918259,3500.0,debit,8299,Образование,Лабиринт,False
148,2024-06-10,POS TEREMOK,3699.0,debit,5812,Кафе и рестораны,Теремок,False
149,2024-05-24,WHOOSH KAZAN RUS,2549.0,debit,4111,Транспорт,Whoosh,False
150,2024-04-17,WILDBERRIES,1009.0,debit,,Прочее,,False
151,2024-06-06,SVYAZNOY*135443,19199.0,debit,,Электроника и техника,Связной,False
152,2024-05-21,Оплата ЕИРЦ л/с 345295,2649.0,debit,4814,ЖКХ и связь,ЕИРЦ,False
153,2024-05-19,STEM,4290.0,debit,,Развлечения,Steam,False
154,2024-06-20,OPLATA TOVAROV SPAR,2900.0,debit,5422,Продукты,Spar,False
155,2024-04-27,DOMINOS PIZZA NOVOSIBIRSK RUS,2509.0,debit,5812,Кафе и рестораны,Dominos Pizza,False
156,2024-04-08,TERMINAL 807564 WHOOSH UFA,2749.0,debit,7523,Транспорт,Whoosh,False
157,2024-05-11,TERMINAL 235153 WILDBERRIES FASHION NIZHNIY NOVGOROD,7299.0,debit,5651,Одежда и обувь,Wildberries Fashion,False
158,2024-04-07,SSHI WOK,849.0,debit,,Кафе и рестораны,Sushi Wok,False
159,2024-05-14,OPLATA TOVAROV VKUSNO I TOCHKA,1050.0,debit,5814,Кафе и рестораны,Вкусно и точка,False
160,2024-06-25,VKUSVILL MOSKVA RUS,2250.0,debit,,Продукты,ВкусВилл,False
161,2024-05-28,M.VIDEO*109239,41999.0,debit,,Электроника и техника,М.Видео,False
162,2024-06-21,POKUPKA MU-MU ROSTOV-NA-DONU,1509.0,debit,,Кафе и рестораны,Му-Му,False
163,2024-04-27,Перевод Смирнова А.Д.,39649.0,debit,,Переводы,Смирнова А.Д.,False
164,2024-04-07,Перевод по номеру телефона +7 992 387-37-29,9499.0,debit,,Переводы,Морозова П.Д.,False
165,2024-06-28,VKUSVIL*L756242,3609.0,debit,,Продукты,ВкусВилл,False
166,2024-06-23,POKUPKA KFC MOSKVA,749.0,debit,5812,Кафе и рестораны,KFC,False
167,2024-05-25,TERMINAL 629471 PETROVICH ROSTOV-NA-DONU,19209.0,debit,,Дом и ремонт,Petrovich,False
168,2024-04-15,OPLATA TOVAROV KOFE HAUZ,3490.0,debit,5814,Кафе и рестораны,Кофе Хауз,False
169,2024-05-03,POKUPKA ASHAN UFA,1609.0,debit,,Продукты,Ашан,False
170,2024-06-11,Перевод Новикова О.О.,26149.0,credit,,Переводы,Новикова О.О.,False
171,2024-06-19,POKUPKA KARI SANKT-PETERBURG,7349.0,debit,5651,Одежда и обувь,Kari,False
172,2024-06-25,ZDRAVSITI,10250.0,debit,8011,Здоровье,Здравсити,False
173,2024-04-02,OPLATA TOVAROV NAIL BAR,2909.0,debit,,Красота и уход,Nail Bar,False
174,2024-05-29,POS NAIL BAR,7300.0,debit,7298,Красота и уход,Nail Bar,False
175,2024-04-03,KFC,2150.0,debit,,Кафе и рестораны,KFC,False
176,2024-04-04,PEREKRESTTOK*112760,2699.0,debit,,Продукты,Перекресток,False
177,2024-05-29,Оплата Т2 л/с 579923,4099.0,debit,4814,ЖКХ и связь,Т2,False
178,2024-05-04,Списание ЖКУ Ростелеком,5909.0,debit,4900,ЖКХ и связь,Ростелеком,False
179,2024-04-04,ZDRAVSITI SANKT-PETERBURG RUS,5249.0,debit,,Здоровье,Здравсити,False
180,2024-05-14,ОПЛ услуг Нетология,15200.0,debit,8220,Образование,Нетология,False
181,2024-04-10,ИП Иванов О.А. электрик услуги,21449.0,debit,5211,Дом и ремонт,Иванов О.А.,False
182,2024-04-25,Прочие услуги 461295,209.0,debit,,Прочее,,False
183,2024-04-05,LENTA,3190.0,debit,,Продукты,Лента,False
184,2024-05-10,МсЭнергоСбыт абонентская плата,6399.0,debit,,ЖКХ и связь,МосЭнергоСбыт,False
185,2024-05-03,OPLATA AEROEKSPRRESS,1099.0,debit,4121,Транспорт,Аэроэкспресс,False
186,2024-04-26,П2П перевод Новикова С.О.,25299.0,debit,,Переводы,Новикова С.О.,False
187,2024-05-18,POS DOMINOS PIZZA,1650.0,debit,,Кафе и рестораны,Dominos Pizza,False
188,2024-04-10,OPLATA TOVAROV CINNABON,300.0,debit,5814,Кафе и рестораны,Cinnabon,False
189,2024-05-28,INVITRO KRASNOYARSK RUS,14349.0,debit,8099,Здоровье,Инвитро,False
190,2024-05-01,Оплата услуг Мегафон,6600.0,debit,4900,ЖКХ и связь,Мегафон,False
191,2024-06-06,SUSHI WOK NIZHNIY NOVGOROD RUS,809.0,debit,,Кафе и рестораны,Sushi Wok,False
192,2024-04-12,CINNABON VORONEZH RUS,3590.0,debit,5812,Кафе и рестораны,Cinnabon,False
193,2024-04-30,Перевод между своими счетами,449.0,debit,,Переводы,Сидоров П.П.,False
194,2024-05-07,POS APTEKA APEL,3449.0,debit,8099,Здоровье,Аптека Апрель,False
195,2024-05-21,П2П перевод Волкова Е.О.,48809.0,credit,,Переводы,Волкова Е.О.,False
196,2024-06-07,KINOTEATR KARO MOSKVA RUS,1849.0,debit,,Развлечения,Кинотеатр Каро,False
197,2024-06-04,O'KEY KAZAN RUS,3799.0,debit,5412,Продукты,О'Кей,False
198,2024-05-10,YANDEX MARKET,7599.0,debit,,Прочее,,False
199,2024-06-05,Ренессанс Сттрахование абонентская плата,1390.0,debit,6051,Финансовые услуги,Ренессанс Страхование,False
200,2024-04-25,Кэшбэк по карте,12109.0,credit,,Прочие доходы,ЮMoney Комиссия,False
201,2024-06-23,Перевод Егорова Н.М.,19909.0,debit,,Переводы,Егорова Н.М.,False
202,2024-04-20,Оплата АльфаСтрахование л/с 880725,2299.0,debit,6051,Финансовые услуги,АльфаСтрахование,False
203,2024-06-05,O'KEY*21798,2209.0,debit,,Продукты,О'Кей,False
204,2024-05-13,POS MEDSI,7709.0,debit,5912,Здоровье,Медси,False
205,2024-05-18,OPLATA TOVAROV MU-MU,3409.0,debit,,Кафе и рестораны,Му-Му,False
206,2024-05-21,Т2 счет №600405,7200.0,debit,4900,ЖКХ и связь,Т2,False
207,2024-05-15,POS PEREKRESTOK,3999.0,debit,,Продукты,Перекресток,False
208,2024-04-02,TEERMINAL 176445 AEROEKSPRESS SAMARA,799.0,debit,,Транспорт,Аэроэкспресс,False
209,2024-06-18,WILDBERRIES,1700.0,debit,,Прочее,,False
210,2024-06-20,KOFE HAUZ,2100.0,debit,5812,Кафе и рестораны,Кофе Хауз,False
211,2024-06-27,NAIL BAR KAZAN RUS,3790.0,debit,7230,Красота и уход,Nail Bar,False
212,2024-04-02,ИП Попов Е.Ю. стоматолог кабинет,13099.0,debit,5912,Здоровье,Попов Е.Ю.,False
213,2024-05-17,Водоканал счет №627612,6049.0,debit,4814,ЖКХ и связь,Водоканал,False
214,2024-06-30,Пополнение счета от Петров Е.О.,14000.0,credit,,Прочие доходы,Ecco,False
215,2024-06-29,Списание по операции №361589,2949.0,debit,,Прочее,,False
216,2024-04-21,POS PLAYSTATION STORE,4049.0,debit,7832,Развлечения,PlayStation Store,False
217,2024-04-25,Оплата Читай-город л/с 414297,6950.0,debit,,Образование,Читай-город,False
218,2024-06-07,POS METRO,3299.0,debit,5411,Продукты,Metro,False
219,2024-06-11,OPLATA TOVAROV SITIMOBIL,2150.0,debit,4111,Транспорт,Ситимобил,False
220,2024-06-29,Зачисление заработной платы ООО Ромашка,64309.0,credit,,Прочие доходы,Билайн,False
221,2024-04-28,POKUPKA LIME SANKT-PETERBURG,4499.0,debit,,Одежда и обувь,LIME,False
222,2024-06-06,INK,3900.0,debit,7832,Развлечения,Wink,False
223,2024-05-05,OSTROVOK,43150.0,debit,,Путешествия,ОстровОК,False
224,2024-06-04,VKUSVILL,4649.0,debit,,Продукты,ВкусВилл,False
225,2024-04-21,POS RENDEZ-VOUS,7700.0,debit,,Одежда и обувь,Rendez-Vous,False
226,2024-06-03,POS BOULING KOSMIK,1200.0,debit,,Развлечения,Боулинг Космик,False
227,2024-06-25,Перевод СБП Кузнецов Е.И.,6090.0,debit,,Переводы,Кузнецов Е.И.,False
228,2024-06-19,OPLATA TOVAROV METRO,2300.0,debit,5412,Продукты,Metro,False
229,2024-06-14,Выплата премии ООО Альянс,63100.0,credit,,Прочие доходы,ТСЖ Пример,False
230,2024-06-28,SPAR*586472,4550.0,debit,,Продукты,Spar,False
231,2024-06-06,POKUPKA PRIME NIZHNIY NOVGOROD,2050.0,debit,5814,Кафе и рестораны,Prime,False
232,2024-04-21,KARI*340403,3649.0,debit,,Одежда и обувь,Kari,False
233,2024-06-07,OPLATA TOVAROV ASHAN DOM,16350.0,debit,5200,Дом и ремонт,Ашан Дом,False
234,2024-04-23,SHOKOLADNITSA*814712,1400.0,debit,,Кафе и рестораны,Шоколадница,False
235,2024-06-16,OPLATA TOVAROV DIKSI,3799.0,debit,5412,Продукты,Дикси,False
236,2024-06-26,Перевод СБП Волков И.Ю.,5490.0,debit,,Переводы,Волков И.Ю.,False
237,2024-06-02,TERMINAL 690880 MU-MU KRASNOYARSK,2549.0,debit,5814,Кафе и рестораны,Му-Му,False
238,2024-06-20,OPLATA KARI,2950.0,debit,,Одежда и обувь,Kari,False
239,2024-04-01,RENDEZ-VOUS,11250.0,debit,,Одежда и обувь,Rendez-Vous,False
240,2024-06-18,Списане ЖКУ МосЭнергоСбыт,990.0,debit,,ЖКХ и связь,МосЭнергоСбыт,False
241,2024-04-20,H&M VORONEZH RUS,2709.0,debit,5651,Одежда и обувь,H&M,False
242,2024-05-07,OPLATA BOULING KOSMIK,1950.0,debit,,Развлечения,Боулинг Космик,False
243,2024-05-16,Перевод СБП Сидоров Д.О.,26749.0,credit,,Переводы,Сидоров Д.О.,False
244,2024-05-20,SUSHI WOK*886893,3150.0,debit,,Кафе и рестораны,Sushi Wok,False
245,2024-05-04,Учи.ру абонентская плата,23199.0,debit,8299,Образование,Учи.ру,False
246,2024-06-03,PRIME,2199.0,debit,5812,Кафе и рестораны,Prime,False
247,2024-05-03,Списание ЖКУ ЕИРЦ,4549.0,debit,4900,ЖКХ и связь,ЕИРЦ,False
248,2024-04-19,PETROVICH*933839,7299.0,debit,5200,Дом и ремонт,Petrovich,False
249,2024-06-18,SITIMOBIL*832420,1409.0,debit,,Транспорт,Ситимобил,False
250,2024-05-08,TERMINAL 83289 GAZPROMNEFT AZS MOSKVA,2799.0,debit,7523,Транспорт,Газпромнефть АЗС,False
251,2024-04-22,S7 AIRLINES,23599.0,debit,7011,Путешествия,S7 Airlines,False
252,2024-05-11,METRO*527806,1009.0,debit,,Продукты,Metro,False
253,2024-05-01,OPLATA DOC+,11890.0,debit,5912,Здоровье,Doc+,False
254,2024-05-10,OZON.RU,4000.0,debit,,Прочее,,False
255,2024-04-30,YANDEX MARKET,7090.0,debit,,Прочее,,False
256,2024-04-24,OPLATA TOVAROV O'KEY,1249.0,debit,,Продукты,О'Кей,False
257,2024-05-07,OPLATA KFC,1449.0,debit,5814,Кафе и рестораны,KFC,False
258,2024-04-13,SUSHI WOK NIZHNIY NOVGOROD RUS,2699.0,debit,5814,Кафе и рестораны,Sushi Wok,False
259,2024-06-16,SBP PEREVOD Морозов Н.И.,7809.0,debit,,Переводы,Морозов Н.И.,False
260,2024-05-01,Внутрибанковский перевод Иванова А.С.,40299.0,credit,,Переводы,Иванова А.С.,False
261,2024-04-03,Перевод СБП Попова Д.А.,27449.0,debit,,Переводы,Попова Д.А.,False
262,2024-06-22,YANDEKS TAAKSI,1800.0,debit,4111,Транспорт,Яндекс Такси,False
263,2024-05-12,POS DIKSI,4000.0,debit,5422,Продукты,Дикси,False
264,2024-04-20,АльфаСтрахование сччет №745162,2690.0,debit,6051,Финансовые услуги,АльфаСтрахование,False
265,2024-06-28,Skillbox абонентская плата,8650.0,debit,,Образование,Skillbox,False
266,2024-04-11,TVOE*373640,3249.0,debit,5651,Одежда и обувь,Твое,False
267,2024-04-20,МАРКЕТПЛЕЙС ОПЛАТА 922359,3900.0,debit,,Прочее,,False
268,2024-04-25,POKUPKA OZON ELECTRONICS EKATERINBURG,52700.0,debit,,Электроника и техника,Ozon Electronics,False
269,2024-06-04,METO KRASNOYARSK RUS,5499.0,debit,5411,Продукты,Metro,False
270,2024-04-24,ВТБ Страхование счет №718276,4399.0,debit,,Финансовые услуги,ВТБ Страхование,False
271,2024-05-21,PKUPKA ROSNEFT AZS NOVOSIBIRSK,2590.0,debit,,Транспорт,Роснефть АЗС,False
272,2024-05-26,POS MAKSIDOM,24709.0,debit,,Дом и ремонт,Максидом,False
273,2024-06-01,Перевод по номеру телефона +7 988 731-44-87,28390.0,debit,,Переводы,Кузнецова С.И.,False
274,2024-05-14,OPLATA PYATEROCHKA,949.0,debit,5422,Продукты,Пятёрочка,False
275,2024-05-09,OLPATA TOVAROV ASHAN,2500.0,debit,,Продукты,Ашан,False
